Month,Avg Temp (F),Max Temp (F),Min Temp (F),Avg Rel Hum (%),Max Rel Hum (%),Min Rel Hum (%),Avg Sol Rad (w/m^2),Max Sol Rad (w/m^2),Total Sol Rad (w/m^2),Avg Wind (mph),Max Wind (mph),Avg Barom (mb),Max Barom (mb),Min Barom (mb),Precip (in),Deep Well (ft),Shallow Well (ft),80 cm Soil (C),10 cm Soil (C)
1,17.91,22.62,12.54,85.22,92.7,71.6,50.11,503,7166,1.01,15.56,1008.14,1010,1003,0,5.62,1.8,4.41,2.2
1,24.5,29.07,21.94,59.26,71.5,48.64,52.47,482,7503,4.43,26.74,1011.17,1013,1008,0,4.89,1.36,5.14,2.64
1,23.39,30.13,14.56,81.02,92.7,61.71,55.53,449,7940,2.54,20.6,1000.29,1004,997,0.01,6,2.36,4.2,2.03
1,41.38,51.03,34.86,79.02,90.5,66.3,54.41,349,7780,0.53,8.55,1011.47,1014,1008,0,5.23,1.6,5.17,2.74
1,21.59,29.88,10.76,64.6,86.3,42.98,111.23,669,15905,4.03,21.48,1009.59,1016,1004,0,5.47,1.93,4.44,2.24
1,24.41,33.93,15.39,81.19,94.2,58.92,40.16,327,5742,1.26,14.69,1007.69,1013,998,0,5.97,2.34,4.24,2.06
2,21.45,31.17,6.24,66.68,85.6,40.22,65.04,301,9301,2.55,32,1004.43,1009,1000,0,6.01,2.19,3.67,1.55
2,11.53,22.37,1.96,54.37,71.1,41.34,172.19,692,24622,2.67,17.76,1012.97,1018,1006,0,4.99,1.53,3.51,1.49
2,30.87,36.41,28.35,81.33,96.4,64.47,80.35,755,11410,3.93,40.55,1002.12,1011,985,0.17,6.62,1.88,3.87,1.7
2,16.26,21.67,7.9,68.16,90.7,47.96,99.31,617,14201,2.35,17.97,1005.12,1010,1003,0.04,5.08,1.43,3.52,1.47
2,24.18,40.44,5.88,52.35,76.5,24.26,122.65,771,17540,1.13,15.56,1017,1022,1013,0,6.06,1.86,3.64,1.51
2,17.18,33.57,0.77,58.95,88.2,20.17,139.27,605,19915,1.16,19.07,1013.5,1019,1011,0,6.63,2.73,3.94,1.79
3,37.61,50.04,23.36,57.16,88.7,28.55,272.08,882,35642,1.54,15.34,1012.12,1016,1009,0,3.97,1.39,3.43,2.7
3,23.46,31.68,17.29,91.51,96.4,86.4,69.33,353,9845,0.63,12.71,1006.57,1020,996,0.54,4.42,0.89,3.05,0.54
3,24.24,33.57,13.73,50.13,79,30.22,231.75,1010,33140,3.63,23.89,1007.45,1009,1006,0,3.64,1.3,3.64,1.95
3,39.23,45.91,31.89,55.64,91.7,38.09,91.87,541,13137,2.2,16,1005.29,1009,1002,0,4,1.37,3.5,3.61
3,29.3,38.07,22.05,64.59,91,34.37,225.8,989,30257,2.49,17.32,1000.63,1006,998,0.01,3.48,1.19,3.57,2.79
