Month,Avg Temp (F),Max Temp (F),Min Temp (F),Avg Rel Hum (%),Max Rel Hum (%),Min Rel Hum (%),Avg Sol Rad (w/m^2),Max Sol Rad (w/m^2),Total Sol Rad (w/m^2),Avg Wind (mph),Max Wind (mph),Avg Barom (mb),Max Barom (mb),Min Barom (mb),Precip (in),Deep Well (ft),Shallow Well (ft),80 cm Soil (C),10 cm Soil (C)
1,36.55,43.2,26.67,79.34,96.1,57.28,40.44,448,5783,2.13,27.4,1008.17,1010,1007,0.07,5.2,1.18,5.2,2.67
1,24.85,35.22,16.47,69.41,85.7,48.8,49.41,364,7066,0.43,11.84,1005.7,1012,1001,0,4.66,1.47,5.07,2.15
1,26.37,32.85,19.54,65.88,87.3,43.18,85.46,577,12221,3.38,26.08,1001.78,1003,1001,0,4.59,1.54,4.97,1.91
1,19.31,28.69,11.71,73.43,88.6,45.23,82.59,508,11810,0.82,13.15,998.5,1001,995,0,4.62,1.6,4.87,1.64
1,20.95,24.3,13.03,79.58,93.7,58.63,31.75,183,4540,2.33,17.97,992.08,995,990,0.1,4.69,1.65,4.76,1.37
1,23.73,30.24,19.54,81.56,93.3,59.52,25.67,260,3670,2.01,15.56,991.13,993,990,0.01,4.78,1.66,4.62,1.39
1,20.89,25.12,18.25,77.35,91.3,62.84,25.7,169,3675,3.82,28.72,1001.66,1009,992,0.05,4.9,1.72,4.54,1.65
1,17.8,23.83,10.76,73.13,92.5,59.2,46.94,364,6712,2.39,27.62,1014.19,1018,1009,0,5.07,1.76,4.49,1.84
1,18.59,23.94,13.5,75.89,91.9,60.66,68.84,565,9776,1.7,13.59,1014.85,1018,1007,0,5.19,1.78,4.48,1.82
1,18.88,22.87,16.81,91.92,94.6,68.61,4.56,26,652,3.76,25.43,998.73,1007,994,0.82,5.17,1.75,4.46,1.89
1,16.89,20.14,13.96,75.1,91.1,62.98,37.78,417,5402,2.98,17.54,1012.61,1017,1003,0.26,5.21,1.85,4.46,2.04
1,10.35,15.98,-0.06,76.73,90.1,63.39,53.16,429,7601,1.59,11.4,1018.08,1019,1017,0,5.35,1.88,4.45,2.14
1,13.11,28.35,-3.87,78.68,91.4,61.25,67.84,511,9701,1.77,16,1010.4,1017,1004,0.01,5.43,1.86,4.45,2.2
1,7.54,15.49,-2.69,62.3,78.2,37.51,114.08,535,16200,1.24,17.76,1019.31,1022,1016,0,5.58,2.01,4.43,2.25
1,24.22,32.14,14.92,87.1,96.4,50.36,9.37,52,1340,3.13,19.51,1008.59,1019,998,0.76,5.65,2,4.42,2.25
1,25.86,30.6,17.89,92.29,96.4,86.5,26.59,149,3802,1.09,9.86,1001.1,1007,997,0.07,5.59,1.78,4.41,2.24
1,17.91,21.67,13.14,84.07,92.9,70.3,11.53,77,1649,3.51,28.72,996.99,1003,994,0.35,5.57,1.79,4.38,2.17
1,8.5,20.48,-1.14,77.82,89.5,54.84,20.83,119,2958,1.25,20.17,1005.51,1008,1002,0,5.58,1.94,4.35,2.14
1,2.44,13.35,-8.16,75.8,87,59.62,21.42,109,3041,1.89,19.95,1009.26,1018,1004,0,5.67,2.04,4.33,2.12
1,-6.29,5.02,-19.12,63.31,76.8,27.4,58.13,466,8255,0.93,9.86,1021.21,1025,1018,0,5.81,2.21,4.29,2.1
